amount,net_after_fee,fee_amount,channel,source_file
28559.07,169.26,28389.81,GoFundMe,BrooksIndividualFundraisers
13311.56,-40.0,13351.56,GoFundMe,BrooksIndividualFundraisers
366.64,12.19,354.45,Unknown,BrooksIndividualFundraisers
13656.78,-40.0,13696.78,GoFundMe,BrooksIndividualFundraisers
26135.19,1354.26,24780.93,GoFundMe,BrooksIndividualFundraisers
8117.11,-40.0,8157.11,PayPal,BrooksIndividualFundraisers
23185.33,-40.0,23225.33,GoFundMe,BrooksIndividualFundraisers
35085.0,4386.85,30698.15,Unknown,BrooksIndividualFundraisers
7053.37,1602.77,5450.6,GoFundMe,BrooksIndividualFundraisers
15670.22,174.25,15495.97,GoFundMe,BrooksIndividualFundraisers
248.23,-30.59,278.82,Unknown,BrooksIndividualFundraisers
79.78,,,Unknown,BrooksIndividualFundraisers
