date,channel,amount,source_file
2025-01-26,E-transfer to our bank,1000.0,DonorsPaliNightFund
2025-01-26,E-transfer to our bank,100.0,DonorsPaliNightFund
2025-01-26,E-transfer to our bank,3000.0,DonorsPaliNightFund
2025-01-27,E-transfer to our bank,1000.0,DonorsPaliNightFund
2025-01-27,E-transfer to our bank,2000.0,DonorsPaliNightFund
2025-01-26,DonorBox,300.0,DonorsPaliNightFund
2025-01-26,DonorBox,104.56,DonorsPaliNightFund
2025-01-26,DonorBox,300.0,DonorsPaliNightFund
2025-01-26,DonorBox,42.09,DonorsPaliNightFund
2025-01-28,E-transfer to our bank,3000.0,DonorsPaliNightFund
2025-01-29,E-transfer to our bank,1000.0,DonorsPaliNightFund
2025-01-29,E-transfer to our bank,500.0,DonorsPaliNightFund
