date,amount,status,category,channel,source_file
2024-05-16,5.0,paid,Medical Supplies & Food Aid Fund,DonorBox,OBA_Donations
2024-05-16,8.0,paid,Medical Supplies,DonorBox,OBA_Donations
2024-05-16,104.54,paid,Medical Supplies,DonorBox,OBA_Donations
2024-05-27,10.0,paid,Medical Supplies,DonorBox,OBA_Donations
2024-05-28,20.0,paid,Babies’ Medical Supplies: Support Drs. M & M,DonorBox,OBA_Donations
2024-06-06,52.37,paid,Babies’ Medical Supplies: Support Drs. M & M,DonorBox,OBA_Donations
2024-06-07,3.0,paid,Medical Supplies & Food Aid Fund,DonorBox,OBA_Donations
2024-06-12,15.0,paid,Medical Supplies & Food Aid Fund,DonorBox,OBA_Donations
2024-06-16,3.0,paid,Medical Supplies & Food Aid Fund,DonorBox,OBA_Donations
2024-06-17,26.34,paid,Babies’ Medical Supplies: Support Drs. M & M,DonorBox,OBA_Donations
2024-07-07,20.0,paid,Honor Their Roots (Palestinian Children),DonorBox,OBA_Donations
2024-07-07,25.0,paid,"Emergency Fund -  Nuseirat Camp -  Oct. 6, 2024.",DonorBox,OBA_Donations
2024-07-07,10.0,paid,"Emergency Fund -  Nuseirat Camp -  Oct. 6, 2024.",DonorBox,OBA_Donations
2024-07-07,10.0,paid,"Emergency Fund -  Nuseirat Camp -  Oct. 6, 2024.",DonorBox,OBA_Donations
2024-07-09,20.0,paid,"Emergency Fund -  Nuseirat Camp -  Oct. 6, 2024.",DonorBox,OBA_Donations
2024-08-07,20.0,paid,Honor Their Roots (Palestinian Children),DonorBox,OBA_Donations
2024-09-07,20.0,paid,Honor Their Roots (Palestinian Children),DonorBox,OBA_Donations
2024-10-07,20.0,paid,Honor Their Roots (Palestinian Children),DonorBox,OBA_Donations
2024-10-16,166.73,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2024-11-07,100.0,paid,Honor Their Roots (Palestinian Children),DonorBox,OBA_Donations
2024-12-07,100.0,paid,Honor Their Roots (Palestinian Children),DonorBox,OBA_Donations
2024-12-14,21.29,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2024-12-16,14.0,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2024-12-18,10.9,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2024-12-20,4.0,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-01-06,500.0,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-01-07,29.6,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-01-09,21.13,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-01-14,20.0,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-01-26,42.09,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-01-26,300.0,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-01-26,104.56,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-01-26,312.79,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-01-29,21.13,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-02-02,5000.0,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-03-04,21.27,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-03-05,26.34,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-03-07,52.37,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-03-12,208.54,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-03-28,125.25,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-04-03,10.75,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-05-07,58.88,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-06-07,58.88,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-07-07,58.88,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-08-07,58.88,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-09-07,58.88,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-09-14,1044.16,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-10-07,58.88,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-11-07,58.88,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2025-12-07,58.88,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2026-01-07,58.88,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2026-03-10,9.67,paid,Orange Blossom Alliance Emergency Fund,DonorBox,OBA_Donations
2026-07-28,104.7,paid,Water is Life - Gaza Is Thirsty ,DonorBox,OBA_Donations
2026-07-28,52.59,paid,Water is Life - Gaza Is Thirsty ,DonorBox,OBA_Donations
2026-07-28,20.0,paid,Water is Life - Gaza Is Thirsty ,DonorBox,OBA_Donations
