status,completion_pct,channel,source_file
Active,20.0,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,6.535,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,16.395,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,6.29,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,18.18,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,27.78,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,13.16,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,27.78,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,24.195,GoFundMe,OrderData_MultiLevel
Inactive,17.855,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,12.985,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,24.195,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,11.63,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,16.395,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,14.285,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,6.135,GoFundMe,OrderData_MultiLevel
Inactive,8.545,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,16.395,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,6.735,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,17.545,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,7.195,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,5.88,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,6.945,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,2.995,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,14.925,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,14.085,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,14.495,GoFundMe,OrderData_MultiLevel
Active,27.78,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,13.515,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,13.7,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,6.025,GoFundMe,OrderData_MultiLevel
Inactive,5.375,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,6.37,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Active,19.23,GoFundMe,OrderData_MultiLevel
Inactive,9.615,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
Inactive,0.0,GoFundMe,OrderData_MultiLevel
