period,location,category,record_type,item,amount_original,currency_original,amount_cad,amount_min_original,amount_max_original,amount_cad_min,amount_cad_max,families,people,data_status
2024,Gaza,Food Aid,Budget,,14400.0,USD,19733.76,,,,,,,Estimated
2024,Gaza,Water Aid,Budget,,5000.0,USD,6852.0,,,,,,,Estimated
2024,Gaza,Transportation,Budget,,1000.0,USD,1370.4,,,,,,,Estimated
2024,Gaza,Contingency,Budget,,1000.0,USD,1370.4,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Rice,6.95,USD,9.52,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Sugar,2.14,USD,2.93,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Salt,0.8,USD,1.1,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Pasta,3.21,USD,4.4,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Lentil Brown,2.14,USD,2.93,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Lentil Yellow,1.6,USD,2.19,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Tomato Paste,2.14,USD,2.93,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Chickpeas,2.67,USD,3.66,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Canola Oil,,USD,,2.14,2.67,2.93,3.66,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Halawettahineh,2.67,USD,3.66,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Jam,2.67,USD,3.66,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Lanshon,2.67,USD,3.66,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Item,Foul,1.34,USD,1.84,,,,,,,Estimated
2024-06,Gaza,Food Aid,Food Aid Summary,,21217.56,USD,29076.54,,,,,630,,Estimated
2024,Gaza,Water Aid,Reach,Water planning estimate,,,,,,,,200,1000.0,Estimated
2024,Gaza,Food Aid,Reach,Food supplies budget target,,,,,,,,2000,,Estimated
2024-06,Gaza,Food Aid,Reach,Food box estimate,,,,,,,,630,,Estimated
