date,month,location,category,transaction_type,amount_original,currency,amount_cad
10/1/2024,2024-10,Unknown,Aid Distribution,payment,700,CAD,700
10/1/2024,2024-10,Unknown,Aid Distribution,fee,15,CAD,15
10/3/2024,2024-10,Unknown,Aid Distribution,payment,3000,CAD,3000
10/3/2024,2024-10,Unknown,Aid Distribution,fee,20,CAD,20
10/7/2024,2024-10,Unknown,Aid Distribution,payment,2980,CAD,2980
10/7/2024,2024-10,Unknown,Aid Distribution,fee,20,CAD,20
10/19/2024,2024-10,Unknown,Aid Distribution,payment,1985,CAD,1985
10/19/2024,2024-10,Unknown,Aid Distribution,fee,15,CAD,15
10/21/2024,2024-10,Unknown,Aid Distribution,payment,3000,CAD,3000
10/21/2024,2024-10,Unknown,Aid Distribution,fee,15,CAD,15
10/21/2024,2024-10,Unknown,Aid Distribution,payment,2960,CAD,2960
10/21/2024,2024-10,Unknown,Aid Distribution,fee,20,CAD,20
10/21/2024,2024-10,Unknown,Aid Distribution,payment,1985,CAD,1985
10/21/2024,2024-10,Unknown,Aid Distribution,fee,15,CAD,15
10/30/2024,2024-10,Unknown,Aid Distribution,payment,2124.15,CAD,2124.15
10/30/2024,2024-10,Unknown,Aid Distribution,fee,15,CAD,15
10/30/2024,2024-10,Unknown,Aid Distribution,payment,2832.2,CAD,2832.2
10/30/2024,2024-10,Unknown,Aid Distribution,fee,20,CAD,20
11/5/2024,2024-11,Unknown,Aid Distribution,payment,5980,CAD,5980
11/5/2024,2024-11,Unknown,Aid Distribution,fee,20,CAD,20
11/5/2024,2024-11,Unknown,Aid Distribution,payment,1825,CAD,1825
11/5/2024,2024-11,Unknown,Aid Distribution,fee,15,CAD,15
11/6/2024,2024-11,Unknown,Aid Distribution,payment,7140,CAD,7140
11/6/2024,2024-11,Unknown,Aid Distribution,fee,20,CAD,20
11/18/2024,2024-11,Unknown,Aid Distribution,payment,245,CAD,245
11/18/2024,2024-11,Unknown,Aid Distribution,fee,15,CAD,15
12/2/2024,2024-12,Unknown,Aid Distribution,payment,585,CAD,585
12/2/2024,2024-12,Unknown,Aid Distribution,fee,15,CAD,15
12/4/2024,2024-12,Unknown,Aid Distribution,payment,2980,CAD,2980
12/4/2024,2024-12,Unknown,Aid Distribution,fee,20,CAD,20
12/6/2024,2024-12,Unknown,Aid Distribution,payment,2980,CAD,2980
12/6/2024,2024-12,Unknown,Aid Distribution,fee,20,CAD,20
12/6/2024,2024-12,Unknown,Aid Distribution,payment,2680,CAD,2680
12/6/2024,2024-12,Unknown,Aid Distribution,fee,20,CAD,20
12/6/2024,2024-12,Unknown,Aid Distribution,payment,1985,CAD,1985
12/6/2024,2024-12,Unknown,Aid Distribution,fee,15,CAD,15
1/11/2025,2025-01,Unknown,Aid Distribution,payment,3980,CAD,3980
1/11/2025,2025-01,Unknown,Aid Distribution,fee,20,CAD,20
1/11/2025,2025-01,Unknown,Aid Distribution,payment,2580,CAD,2580
1/11/2025,2025-01,Unknown,Aid Distribution,fee,20,CAD,20
1/27/2025,2025-01,Unknown,Aid Distribution,payment,4980,CAD,4980
1/27/2025,2025-01,Unknown,Aid Distribution,fee,20,CAD,20
